id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,price
31,Mercedes-Benz,E-Class E 300,2021,17000,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Black,None reported,104900
32,Tesla,Model S P100D,2018,30300,,518.0HP Electric Motor Electric Fuel System,A/T,White,White,None reported,64000
33,Mercedes-Benz,E-Class E 350 4MATIC,2009,120000,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,15000
34,Volkswagen,Jetta S,2019,22000,Gasoline,174.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Brown,At least 1 accident or damage reported,87000
35,BMW,528 i xDrive,2015,83424,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,23000
36,BMW,330 i xDrive,2019,7600,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,165000
37,Mercedes-Benz,AMG G 63 Base,2020,20172,Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,45000
38,Mercedes-Benz,C-Class C 300 4MATIC Sport,2016,67289,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,28000
39,Buick,Enclave Premium,2022,9642,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,Ebony Twilight Metallic,Dark Galvanized,None reported,63900
40,BMW,328 xi,2003,107818,Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Red,Beige,At least 1 accident or damage reported,12000
41,Ford,F-250 XLT,2019,32437,Gasoline,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,A/T,Gray,Black,At least 1 accident or damage reported,30000
42,Chevrolet,Corvette Grand Sport,2014,55000,Gasoline,430.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,None reported,32000
43,Mercedes-Benz,AMG GT 53 Base,2022,10972,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Magnetite Black Metallic,Black,None reported,244896
44,Rivian,R1S Adventure Package,2023,7000,Gasoline,835.0HP Electric Motor Electric Fuel System,8-Speed A/T,Green,Black,None reported,145000
45,RAM,1500 Laramie,2022,27352,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Diamond Black,Black,None reported,42599
46,Chevrolet,Corvette Base,2007,171896,Gasoline,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,10000
47,BMW,M4 Base,2015,62500,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Red,None reported,49999
48,Hummer,H2 Base,2005,137405,Gasoline,310.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,26500
49,Alfa,Romeo Stelvio Ti Sport,2020,33060,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Brown,None reported,34500
50,INFINITI,QX60 Base,2016,49000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,21000
51,Tesla,Model 3 Long Range,2020,38360,,Dual Motor - Standard,Automatic,White,Black,None reported,59598
52,Tesla,Model X 75D,2021,88000,,518.0HP Electric Motor Electric Fuel System,1-Speed A/T,Black,Black,None reported,53600
53,Hyundai,Genesis Coupe 3.8 Base,2016,66770,Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,At least 1 accident or damage reported,16000
54,BMW,M6 Base,2016,73500,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,33200
55,Jeep,Gladiator Rubicon,2022,12100,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Brown,None reported,53900
56,Mercedes-Benz,C-Class C 300 4MATIC Sport,2015,70582,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,27000
57,Ford,Thunderbird Deluxe,2005,46508,Gasoline,252.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,32900
58,Land,Rover Range Rover Sport HSE,2008,122000,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,8000
59,Mercedes-Benz,SL-Class SL500 Roadster,2001,153000,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,4900
60,Mercedes-Benz,GLS 450 Base 4MATIC,2017,44147,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,9-Speed Automatic,White,Parchment.,At least 1 accident or damage reported,29999
61,Porsche,Cayenne Base,2017,86202,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,23500
62,Chevrolet,Corvette Stingray w/2LT,2022,9000,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Yellow,Black,None reported,98900
63,Chevrolet,SSR Base,2006,87500,Gasoline,300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Gray,None reported,10000
64,BMW,M5 Base,2013,61145,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,36800
65,Chevrolet,Corvette Stingray w/2LT,2022,1100,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Yellow,Brown,None reported,193063
66,Toyota,86 860 Special Edition,2016,17500,Hybrid,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,47500
67,Mercedes-Benz,G-Class G 550 4MATIC,2019,22500,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,99000
68,Toyota,Camry SE,2011,170000,Gasoline,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,7500
69,Mercedes-Benz,E-Class E 350,2013,76500,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,30500
70,McLaren,570S Spider,2023,3254,Gasoline,3.8L V8 32V MPFI DOHC Twin Turbo,7-Speed Automatic with Auto-Shift,Vega Blue,Black,None reported,92500
71,Toyota,Highlander XLE,2019,55018,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,32000
72,Toyota,Sequoia Platinum,2023,2958,Hybrid,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Automatic,Green,Boulder,None reported,65998
73,Ford,F-250 King Ranch,2019,40200,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Green,Gray,At least 1 accident or damage reported,48000
74,Honda,CR-V EX-L,2023,3500,Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Black,None reported,54500
75,Porsche,911 Carrera 4S,2014,45000,Gasoline,385.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,63000
76,Toyota,Camry Solara SLE,2013,137000,Gasoline,210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,13999
77,Land,Rover Range Rover Sport HSE,2012,80000,Gasoline,385.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,22000
78,Toyota,4Runner SR5,2009,186117,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Beige,None reported,8500
79,BMW,M3 Base,2018,13750,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Orange,None reported,55000
80,Audi,RS 7 4.0T Prestige,2015,23400,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,95000
81,Toyota,Camry LE,2000,90400,Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Beige,Beige,None reported,11999
82,Audi,Q5 2.0T Premium Plus,2019,38360,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,43500
83,Ford,Mustang Premium,2007,192000,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,6700
84,Ford,Expedition Limited,2022,29830,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,White,Medium Earth Gray,None reported,53900
85,Ford,Mustang EcoBoost Premium,2021,17000,Gasoline,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,None reported,27599
86,Mercedes-Benz,E-Class E 350,2014,83112,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,18750
87,RAM,2500 Big Horn,2012,95400,Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Black,,27899
88,Jeep,Wrangler X,2002,110000,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,M/T,Silver,Gray,None reported,9500
89,Ford,Focus RS Base,2017,29720,Gasoline,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Gray,None reported,29500
90,MINI,Countryman Cooper S ALL4,2017,26000,Gasoline,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,39995
91,Lexus,NX 300 Base,2018,6449,Gasoline,2.0L I4 16V PDI DOHC Turbo,6-Speed Automatic,Gray,Black,At least 1 accident or damage reported,24995
92,Ford,Mustang GT,2006,160000,Gasoline,300.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Gray,None reported,4500
93,Toyota,Highlander Limited Platinum,2010,1500,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,4900
94,BMW,430 i,2017,46300,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,At least 1 accident or damage reported,29900
95,INFINITI,QX60 Base,2016,95400,Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,15999
96,Dodge,Ram 1500 Laramie Mega Cab,2005,153692,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,8300
97,Ford,F-150 XLT,2018,63500,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Gray,None reported,26500
98,Nissan,Xterra S,2007,100900,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,M/T,Black,Gray,At least 1 accident or damage reported,9500
99,Chevrolet,Tahoe LT,2020,17000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,39000
100,Audi,A8 L 55,2014,85500,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Brown,None reported,17500
101,Mercedes-Benz,S-Class S 63 AMG,2015,41000,Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,65000
102,Chevrolet,Suburban 1500 LTZ,2010,167500,Gasoline,320.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,13490
103,Mercedes-Benz,AMG GT AMG GT S,2016,9738,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,62500
104,BMW,M3 Base,2001,69764,Gasoline,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,6800
105,Mercedes-Benz,E-Class E 550,2014,15000,Gasoline,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,41950
106,Jaguar,XJ8 L,2023,10000,Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,None reported,92500
107,Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17300,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Gray,Black,None reported,45000
108,Audi,TT 1.8T,2016,40000,Gasoline,180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,22000
109,Cadillac,Escalade Platinum,2019,98650,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,29500
110,BMW,M8 Gran Coupe Competition,2020,35400,Gasoline,617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,87500
111,Acura,ILX Premium Package,2021,16113,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,Ebony Twilight Metallic,Ebony,None reported,29998
112,Chevrolet,Suburban LT,2013,72900,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,17498
113,Ford,Excursion Limited,2003,116157,Gasoline,310.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,10900
114,Lincoln,MKZ Base,2015,79422,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,16800
115,Kia,Sportage LX,2010,100730,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,9995
116,BMW,X5 PHEV xDrive45e,2023,2235,Plug-In Hybrid,389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,Blue,Brown,At least 1 accident or damage reported,95000
117,Mercedes-Benz,CLA-Class CLA 250,2016,76753,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,13999
118,Mercedes-Benz,SL-Class SL 550,2014,51808,Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,54000
119,Ford,F-350 Platinum,2013,162000,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Black,None reported,11000
120,Jeep,Liberty Sport,2010,131986,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,7000
121,Cadillac,CTS Performance,2016,91545,Gasoline,318.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Beige,At least 1 accident or damage reported,41927
122,Acura,TLX,2020,60854,Gasoline,2.0 Liter DOHC Turbo,Automatic,Platinum White Pearl,Ebony,At least 1 accident or damage reported,19425
123,Jeep,Grand Cherokee L Limited,2021,25348,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Metallic,Black,None reported,43663
124,INFINITI,QX70 Base,2013,163000,Gasoline,325.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,17999
125,Ford,F-150 Lariat,2017,67500,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,27500
126,Dodge,Durango GT,2022,16554,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Diamond Black,Black,None reported,18749
127,Chevrolet,Corvette Base,2008,131800,Gasoline,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,12900
128,Volvo,S80 3.2,2001,90050,Gasoline,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,–,None reported,15900
129,Mercedes-Benz,E-Class E 350,2012,58000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,18000
130,Cadillac,CTS Base,2005,95000,Gasoline,255.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,16000
131,Toyota,Highlander Limited,2015,98000,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,18000
132,Ford,Transit Connect XLT,2015,120000,E85 Flex Fuel,169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,A/T,Red,Beige,None reported,29000
133,GMC,Sierra 2500 Base,2009,124542,E85 Flex Fuel,6.0L V8 16V MPFI OHV Flexible Fuel,4-Speed Automatic,White Frost Tri-Coat,Ebony,None reported,3900
134,Jeep,Gladiator Sport,2021,61341,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Firecracker Red Clearcoat,Black,,32455
135,Dodge,Dakota Big Horn/Lone Star,2005,133510,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,6500
136,Mitsubishi,Outlander Sport ES,2010,175700,Gasoline,173.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,6500
137,Ford,F-250 Lariat,2018,81000,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,None reported,26000
138,Mercedes-Benz,A-Class A 220 4MATIC,2017,38900,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,36500
139,Rolls-Royce,Ghost Base,2018,56985,Gasoline,710.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,None reported,27671
140,Audi,Q5 2.0T Premium Plus,2017,73350,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Brown,At least 1 accident or damage reported,16500
141,Toyota,Camry Solara SLE V6,2005,161900,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,5700
142,Porsche,911 Turbo S,2013,48000,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,51500
143,Ford,Ranger XLT,2019,117000,Gasoline,270.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Beige,At least 1 accident or damage reported,28495
144,BMW,X3 xDrive30i,2021,43277,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Phytonic Blue Metallic,Canberra Beige,None reported,29995
145,Maserati,Ghibli S Q4,2019,25793,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Blu,Black,None reported,46750
146,Porsche,911 Carrera,2015,31500,Gasoline,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,Black,Black,None reported,71200
147,GMC,Acadia SLT-1,2019,39192,Gasoline,2.3L I4 16V GDI DOHC Turbo,9-Speed Automatic,White,Jet Black,None reported,33995
148,Chevrolet,Avalanche 1500 LTZ,2007,179200,Gasoline,366.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,26500
149,INFINITI,Q60 3.0t Red Sport 400,2020,3300,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,None reported,51900
150,Nissan,Pathfinder SL,2022,13000,Gasoline,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Silver,Black,None reported,29995
151,Pontiac,Solstice GXP,2007,87600,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Orange,Black,At least 1 accident or damage reported,11000
152,GMC,Yukon XL SLT,2016,35134,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Silver,None reported,24999
153,BMW,M240 i,2016,90000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,19000
154,Saturn,Sky Red Line,2008,184000,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,13250
155,BMW,540 i xDrive,2017,69404,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Beige,At least 1 accident or damage reported,101000
156,Toyota,Sequoia Platinum,2021,17900,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,40000
157,INFINITI,QX60 Base,2018,51335,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Beige,None reported,27500
158,Audi,Q7 3.0T Premium Plus,2017,70582,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,–,None reported,24700
159,GMC,Sierra 1500 SLT,2022,9281,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,36000
160,Alfa,Romeo Giulia Base,2016,100080,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Brown,Brown,None reported,7945
161,Tesla,Model S Long Range,2021,9500,,670.0HP Electric Motor Electric Fuel System,A/T,White,Beige,None reported,89999
162,Nissan,GT-R Premium,2009,121219,Gasoline,480.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,15900
163,Ford,Expedition Max King Ranch,2021,52673,Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,At least 1 accident or damage reported,55000
164,Acura,RDX w/A-Spec Package,2023,39517,Gasoline,2.0 Liter DOHC Turbo,Automatic,Gray,Black,,29645
165,Porsche,Cayenne GTS Coupe AWD,2011,10500,Gasoline,440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,None reported,39500
166,INFINITI,QX60 Luxe,2014,84272,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Silver,Black,At least 1 accident or damage reported,12750
