id,brand,model,model_year,milage,fuel_type,engine,transmission,price
57,,Thunderbird Deluxe,2005.0,46508.0,,252.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,A/T,32900
58,Land,Rover Range Rover Sport HSE,2008.0,122000.0,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,8000
59,Mercedes,SL-Class SL500 Roadster,2001.0,153000.0,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,4900
60,Mercedes-Benz,GLS 450 Base 4MATIC,2017.0,44147.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,9-Speed Automatic,29999
61,Porsche,Cayenne Base,2017.0,86202.0,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,23500
62,Chevrolet,Corvette Stingray w/2LT,2022.0,9000.0,,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,98900
63,Chevy,SSR Base,2006.0,87500.0,Gasoline,300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,10000
64,BMW,,2013.0,61145.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,36800
65,Chevrolet,Corvette Stingray w/2LT,2022.0,1100.0,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,193063
66,Toyota,86 860 Special Edition,2016.0,17500.0,Hybrid,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,47500
67,Mercedes,G-Class G 550 4MATIC,2019.0,22500.0,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,99000
68,Toyota,Camry SE,2011.0,170000.0,,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,7500
69,Mercedes,,2013.0,76500.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,30500
70,McLaren,570S Spider,2023.0,3254.0,Gasoline,3.8L V8 32V MPFI DOHC Twin Turbo,7-Speed Automatic with Auto-Shift,92500
71,Toyota.,Highlander XLE,2019.0,55018.0,,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,32000
72,,Sequoia Platinum,2023.0,2958.0,Hybrid,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Automatic,65998
73,Ford,F-250 King Ranch,2019.0,40200.0,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,48000
74,Honda,CR-V EX-L,2023.0,,Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,54500
75,,911 Carrera 4S,2014.0,,Gasoline,385.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,63000
76,Toyota,Camry Solara SLE,2013.0,137000.0,Gasoline,210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,13999
77,Land,,2012.0,80000.0,,385.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,22000
78,Toyota,4Runner SR5,2009.0,186117.0,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,8500
79,,M3 Base,2018.0,13750.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,55000
80,Audi,,2015.0,23400.0,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,95000
81,Toyota,Camry LE,2000.0,90400.0,Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,11999
82,Audi,Q5 2.0T Premium Plus,2019.0,38360.0,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,43500
83,Ford,Mustang Premium,2007.0,192000.0,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,6700
84,Ford,Expedition Limited,2022.0,29830.0,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,53900
85,Ford,Mustang EcoBoost Premium,2021.0,17000.0,Gasoline,,10-Speed A/T,27599
86,Mercedes,E-Class E 350,2014.0,83112.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,18750
87,RAM,2500 Big Horn,2012.0,95400.0,Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,27899
88,Jeep,,2002.0,110000.0,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,M/T,9500
89,,Focus RS Base,2017.0,29720.0,,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,29500
90,MINI,Countryman Cooper S ALL4,2017.0,26000.0,Gasoline,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,39995
91,Lexus,NX 300 Base,2018.0,6449.0,,2.0L I4 16V PDI DOHC Turbo,6-Speed Automatic,24995
92,,Mustang GT,2006.0,160000.0,Gasoline,300.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,4500
93,Toyota.,,2010.0,1500.0,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,4900
94,BMW,430 i,2017.0,46300.0,,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,29900
95,INFINITI,,2016.0,95400.0,Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,15999
96,Dodge,,2005.0,153692.0,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,8300
97,FORD,,2018.0,63500.0,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,26500
98,,Xterra S,2007.0,,,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,M/T,9500
99,Chevrolet,Tahoe LT,2020.0,,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,39000
100,Audi,A8 L 55,2014.0,85500.0,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,17500
101,Mercedes,S-Class S 63 AMG,2015.0,41000.0,Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,65000
102,,,2010.0,167500.0,Gasoline,320.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,13490
103,,,2016.0,9738.0,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,62500
104,BMW,M3 Base,2001.0,69764.0,,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,6800
105,Mercedes,E-Class E 550,2014.0,15000.0,Gasoline,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,41950
106,Jaguar,XJ8 L,2023.0,10000.0,Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,92500
107,Mercedes,AMG CLA 45 Base 4MATIC,2021.0,17300.0,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,45000
108,Audi,,2016.0,40000.0,Gasoline,180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,22000
109,Cadillac,Escalade Platinum,2019.0,98650.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,29500
110,BMW,M8 Gran Coupe Competition,2020.0,35400.0,,617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,87500
111,Acura,ILX Premium Package,2021.0,16113.0,,2.4L I4 16V GDI DOHC,6-Speed Automatic,29998
112,,,2013.0,72900.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,17498
113,Ford,Excursion Limited,2003.0,116157.0,Gasoline,310.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,A/T,10900
114,Lincoln,MKZ Base,2015.0,79422.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,16800
115,Kia,Sportage LX,2010.0,100730.0,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,9995
116,BMW,X5 PHEV xDrive45e,2023.0,2235.0,Plug-In Hybrid,389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,95000
117,,CLA-Class CLA 250,2016.0,76753.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,13999
118,Mercedes,SL-Class SL 550,2014.0,51808.0,Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,54000
119,Ford,F-350 Platinum,2013.0,162000.0,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,11000
120,Jeep,,2010.0,131986.0,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,7000
121,,CTS Performance,2016.0,91545.0,Gasoline,,6-Speed A/T,41927
122,Acura,TLX,2020.0,60854.0,Gasoline,2.0 Liter DOHC Turbo,Automatic,19425
123,Jeep,Grand Cherokee L Limited,2021.0,25348.0,,3.6L V6 24V MPFI DOHC,8-Speed Automatic,43663
124,INFINITI,QX70 Base,2013.0,163000.0,Gasoline,325.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,17999
125,Ford,,2017.0,67500.0,,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,27500
126,Dodge,Durango GT,2022.0,16554.0,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,18749
127,Chevrolet,Corvette Base,2008.0,,Gasoline,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,12900
128,Volvo,S80 3.2,2001.0,90050.0,Gasoline,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,A/T,15900
129,Mercedes,E-Class E 350,2012.0,58000.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,18000
130,,CTS Base,2005.0,95000.0,Gasoline,255.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,16000
131,Toyota,,,98000.0,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,18000
132,FORD,Transit Connect XLT,2015.0,120000.0,,169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,A/T,29000
133,GMC,Sierra 2500 Base,2009.0,124542.0,E85 Flex Fuel,6.0L V8 16V MPFI OHV Flexible Fuel,4-Speed Automatic,3900
134,,Gladiator Sport,2021.0,61341.0,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,32455
135,Dodge,Dakota Big Horn/Lone Star,2005.0,133510.0,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,6500
136,Mitsubishi,,2010.0,175700.0,,173.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,6500
137,Ford,F-250 Lariat,2018.0,81000.0,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,26000
138,Mercedes-Benz,A-Class A 220 4MATIC,2017.0,38900.0,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,36500
139,Rolls-Royce,Ghost Base,2018.0,56985.0,Gasoline,710.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,27671
140,Audi,Q5 2.0T Premium Plus,2017.0,73350.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,16500
141,Toyota,Camry Solara SLE V6,2005.0,161900.0,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,5700
142,,911 Turbo S,2013.0,48000.0,,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,51500
143,Ford,Ranger XLT,2019.0,117000.0,Gasoline,270.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,28495
144,,X3 xDrive30i,,43277.0,,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,29995
145,Maserati,Ghibli S Q4,,25793.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,,46750
146,Porsche,911 Carrera,2015.0,31500.0,Gasoline,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,71200
147,,Acadia SLT-1,2019.0,39192.0,Gasoline,2.3L I4 16V GDI DOHC Turbo,9-Speed Automatic,33995
148,Chevy,Avalanche 1500 LTZ,2007.0,179200.0,Gasoline,366.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,26500
149,INFINITI,Q60 3.0t Red Sport 400,2020.0,3300.0,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,51900
150,Nissan,,2022.0,13000.0,Gasoline,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,29995
151,Pontiac,Solstice GXP,2007.0,87600.0,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,11000
152,GMC,Yukon XL SLT,2016.0,35134.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,24999
153,BMW,,2016.0,90000.0,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,19000
154,Saturn,Sky Red Line,2008.0,184000.0,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,13250
155,BMW,540 i xDrive,2017.0,69404.0,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,101000
156,Toyota,Sequoia Platinum,2021.0,17900.0,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,40000
157,INFINITI,QX60 Base,2018.0,51335.0,,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,27500
158,Audi,Q7 3.0T Premium Plus,2017.0,70582.0,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,24700
159,,,2022.0,9281.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,36000
160,,Romeo Giulia Base,2016.0,100080.0,,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,7945
161,Tesla,Model S Long Range,2021.0,9500.0,,670.0HP Electric Motor Electric Fuel System,A/T,89999
162,,GT-R Premium,2009.0,121219.0,Gasoline,480.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,15900
163,FORD,Expedition Max King Ranch,2021.0,52673.0,Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,55000
164,,RDX w/A-Spec Package,2023.0,39517.0,Gasoline,2.0 Liter DOHC Turbo,Automatic,29645
165,Porsche,Cayenne GTS Coupe AWD,2011.0,10500.0,Gasoline,440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,39500
166,INFINITI,,2014.0,84272.0,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,12750
167,Toyota,Tundra SR5,2016.0,66000.0,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,31000
168,Chevrolet,Silverado 1500 RST,2013.0,85500.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,17000
169,Chevy,,2011.0,52253.0,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,62499
170,,A4 2.0T Premium,2011.0,102000.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,18900
171,,GX 460 Base,2021.0,16500.0,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,52500
172,Lincoln,,2019.0,,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,52500
173,Land Rover,Rover Range Rover Sport HSE Dynamic,2018.0,54800.0,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,31000
174,Porsche,Taycan Turbo,2023.0,1794.0,,Electric Motor Electric Fuel System,2-Speed A/T,83500
175,Bentley,Continental GTC Base,2013.0,71280.0,Gasoline,616.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,6-Speed A/T,15000
176,,Leaf S,2020.0,14330.0,,Electric,1-Speed Automatic,52999
177,Toyota,Highlander SE,2009.0,87500.0,Gasoline,317.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,9999
178,FORD,Mustang GT Premium,2017.0,94000.0,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,20995
179,Ford,,2004.0,102000.0,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,8900
180,Mercedes,,2015.0,57912.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,21500
181,Jeep,Wrangler Unlimited,2005.0,100574.0,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,15400
182,,S-10 LS Crew Cab,2001.0,146000.0,Gasoline,190.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,9500
183,,Mustang V6,2013.0,68200.0,,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,15750
184,Lexus,LC 500 Base,2021.0,6523.0,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,54500
185,Ford,Expedition EL King Ranch,2019.0,63400.0,E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,32500
186,Porsche,911 Carrera,2023.0,7200.0,Gasoline,443.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,48000
187,Dodge,Ram 1500 Laramie Mega Cab,2006.0,178416.0,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,5990
188,Mercedes,E-Class E 350 4MATIC,2021.0,23950.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,39900
189,,Suburban Premier,,72839.0,Gasoline,,10-Speed Automatic,28895
190,INFINITI,G37 S Sport,2012.0,7200.0,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,50000
191,,Cayenne Turbo S,2014.0,9822.0,Gasoline,550.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,60995
192,Ford,GT-R Premium,2009.0,51400.0,Gasoline,480.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,13500
193,Porsche,Boxster Base,2005.0,121800.0,Gasoline,201.0HP 2.5L Flat 6 Cylinder Engine Gasoline Fuel,A/T,8900
194,,Model 3 Standard Range Plus,2021.0,42094.0,,Electric Motor Electric Fuel System,A/T,32750
195,Toyota.,Sequoia Limited,2008.0,269885.0,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,7200
196,Kia,Sorento SX,2011.0,11649.0,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,21000
197,Mercedes,Metris Base,2020.0,26000.0,,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,39000
198,Jeep,Wrangler Unlimited Sahara,2019.0,62197.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,33950
199,Bentley,Continental GT Base,2011.0,18000.0,Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,A/T,89000
200,BMW,X1 xDrive 28i,2015.0,79950.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,17000
